Age <= 18,Age <= 19,Age <= 20,Age <= 21,Age <= 22,Age <= 23,Age <= 24,Age <= 30,Age <= 40,Age <= 45,Gender == Male,Juvenile Crimes == 0,Prior Crimes >= 3,y
0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,0,1,1,1,1,1,0,1,1
0,0,0,0,0,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,1,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,1,1,1,1,1,0,1
0,0,0,1,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0,0,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0
0,0,0,0,0,0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,1,1,1,1,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,0,0,0,0,0,1,1,1,1,1,1,0,1
