fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.025;2.0;0.6354568854568855;0.6700434153400868
fold;lamb;nleaves;trainaccu_CART;testaccu_CART
1;0.025;2.0;0.6354568854568855;0.6700434153400868
2;0.025;2.0;0.6406048906048906;0.6237337192474675
3;0.025;2.0;0.6435006435006435;0.597684515195369
4;0.025;2.0;0.6377091377091377;0.6497829232995659
5;0.025;2.0;0.638996138996139;0.638205499276411
6;0.025;2.0;0.6394787644787645;0.6338639652677279
7;0.025;2.0;0.6352960102960103;0.6714905933429812
8;0.025;2.0;0.6366414669454721;0.6594202898550725
9;0.025;2.0;0.6388933569245617;0.6391304347826087
10;0.025;2.0;0.6425928904616375;0.6057971014492753
1;0.01;3.0;0.6486486486486487;0.6685962373371924
2;0.01;3.0;0.6502574002574003;0.6541244573082489
3;0.01;3.0;0.6435006435006435;0.597684515195369
4;0.01;3.0;0.6377091377091377;0.6497829232995659
5;0.01;3.0;0.638996138996139;0.638205499276411
6;0.01;3.0;0.6394787644787645;0.6338639652677279
7;0.01;3.0;0.6352960102960103;0.6714905933429812
8;0.01;3.0;0.6520829982306579;0.6376811594202898
9;0.01;3.0;0.6388933569245617;0.6391304347826087
10;0.01;3.0;0.6425928904616375;0.6057971014492753
1;0.005;4.0;0.6486486486486487;0.6685962373371924
2;0.005;4.0;0.6502574002574003;0.6541244573082489
3;0.005;4.0;0.666023166023166;0.6193921852387844
4;0.005;4.0;0.6599099099099099;0.6743849493487699
5;0.005;4.0;0.6640926640926641;0.6454413892908828
6;0.005;4.0;0.6624839124839125;0.6512301013024602
7;0.005;3.0;0.6352960102960103;0.6714905933429812
8;0.005;4.0;0.6520829982306579;0.6376811594202898
9;0.005;4.0;0.6638249959787679;0.6478260869565218
10;0.005;4.0;0.6652726395367541;0.6260869565217392
1;0.001;12.0;0.6624839124839125;0.6874095513748191
2;0.001;11.0;0.6657014157014157;0.658465991316932
3;0.001;10.0;0.671010296010296;0.6396526772793053
4;0.001;11.0;0.6676319176319176;0.6700434153400868
5;0.001;10.0;0.668918918918919;0.6541244573082489
6;0.001;11.0;0.6732625482625483;0.6353111432706223
7;0.001;11.0;0.6657014157014157;0.6874095513748191
8;0.001;12.0;0.6688113237896092;0.6753623188405797
9;0.001;10.0;0.6686504745053885;0.6565217391304348
10;0.001;9.0;0.6720283094740228;0.6420289855072464
1;0.0005;16.0;0.6702059202059202;0.6888567293777135
2;0.0005;15.0;0.6695624195624196;0.6685962373371924
3;0.0005;14.0;0.671010296010296;0.6396526772793053
4;0.0005;14.0;0.6676319176319176;0.6700434153400868
5;0.0005;16.0;0.6697232947232947;0.658465991316932
6;0.0005;16.0;0.6732625482625483;0.6353111432706223
7;0.0005;14.0;0.6687580437580437;0.6859623733719248
8;0.0005;15.0;0.6728325558951262;0.6652173913043479
9;0.0005;18.0;0.6715457616213608;0.6623188405797101
10;0.0005;13.0;0.6720283094740228;0.6420289855072464
