fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
1;0.025;2.0;0.6354568854568855;0.6700434153400868;0.11217594146728516;0.09724807739257812;NA
2;0.025;2;0.6406048906048907;0.6237337192474675;0.12960290908813477;0.11038589477539062;[(-1,), (1,)]
3;0.025;2.0;0.6435006435006435;0.597684515195369;0.10647392272949219;0.09317779541015625;NA
4;0.025;2.0;0.6377091377091377;0.6497829232995659;0.10895991325378418;0.09443187713623047;NA
5;0.025;2.0;0.638996138996139;0.638205499276411;0.13080811500549316;0.11660003662109375;NA
6;0.025;2.0;0.6394787644787645;0.6338639652677279;0.10531115531921387;0.09212207794189453;NA
7;0.025;2.0;0.6352960102960103;0.6714905933429812;0.10674118995666504;0.08993721008300781;NA
8;0.025;2.0;0.6366414669454721;0.6594202898550725;0.132796049118042;0.11751294136047363;NA
9;0.025;2.0;0.6388933569245617;0.6391304347826087;0.10471224784851074;0.09253311157226562;NA
10;0.025;2.0;0.6425928904616375;0.6057971014492753;0.13188624382019043;0.11205887794494629;NA
1;0.01;3;0.6518661518661519;0.6845151953690304;1.2913050651550293;0.24965119361877441;[(1,), (-3, -1), (-1, 3)]
2;0.01;3;0.6558880308880309;0.6483357452966715;0.8335680961608887;0.25171613693237305;[(1,), (-3, -1), (-1, 3)]
3;0.01;3;0.6574967824967825;0.6338639652677279;1.1334788799285889;0.23107314109802246;[(1,), (-3, -1), (-1, 3)]
4;0.01;3;0.6536357786357787;0.6685962373371924;1.1064369678497314;0.24689102172851562;[(1,), (-3, -1), (-1, 3)]
5;0.01;3;0.6550836550836551;0.6555716353111433;1.1138732433319092;0.25740623474121094;[(1,), (-3, -1), (-1, 3)]
6;0.01;3;0.6568532818532818;0.6396526772793053;1.2759439945220947;0.23882484436035156;[(1,), (-3, -1), (-1, 3)]
7;0.01;3;0.6518661518661519;0.6685962373371924;1.2750859260559082;0.2483217716217041;[(1,), (-10, -1), (-1, 10)]
8;0.01;3;0.6552999839150716;0.6536231884057971;1.126913070678711;0.24042487144470215;[(1,), (-3, -1), (-1, 3)]
9;0.01;3;0.6548174360624095;0.6579710144927536;1.1096389293670654;0.25151586532592773;[(1,), (-3, -1), (-1, 3)]
10;0.01;3;0.6588386681679267;0.6217391304347826;0.590421199798584;0.24944615364074707;[(1,), (-3, -1), (-1, 3)]
1;0.005;5;0.6668275418275419;0.6888567293777135;14.764686107635498;0.8524441719055176;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
2;0.005;5;0.6682754182754183;0.6758321273516642;14.254271984100342;1.0807840824127197;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
3;0.005;5;0.6727799227799228;0.6353111432706223;11.320091962814331;0.9351272583007812;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
4;0.005;5;0.6676319176319176;0.6700434153400868;12.47147798538208;0.910585880279541;[(1,), (-7, -1), (-1, 7, 12), (-12, -10, -1, 7), (-12, -1, 7, 10)]
5;0.005;4.0;0.6640926640926641;0.6454413892908828;14.002169847488403;0.1357870101928711;NA
6;0.005;5;0.671975546975547;0.6425470332850941;13.41843295097351;0.8469259738922119;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
7;0.005;5;0.6657014157014157;0.6874095513748191;190.01082396507263;0.9118530750274658;[(1,), (-6, -1), (-1, 6, 12), (-12, -10, -1, 6), (-12, -1, 6, 10)]
8;0.005;5;0.6686504745053885;0.672463768115942;11.836956262588501;0.9321248531341553;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
9;0.005;5;0.6689721730738298;0.6695652173913044;11.165633201599121;0.6761531829833984;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
10;0.005;5;0.6720283094740228;0.6420289855072464;6.484203815460205;0.7220828533172607;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
1;0.001;7;0.6666666666666667;0.6845151953690304;1800.002315044403;499.88160824775696;[(2,), (-7, -6, -2), (-11, -2, 7), (-7, -2, -1, 6), (-7, -2, 1, 6), (-10, -2, 7, 11), (-2, 7, 10, 11)]
2;0.001;5;0.6681145431145431;0.6729377713458755;1800.0019767284393;461.20106196403503;[(-3,), (-12, -1, 3), (-12, 1, 3), (-7, 3, 12), (3, 7, 12)]
3;0.001;7;0.6735842985842986;0.622286541244573;1800.0001108646393;1722.7612869739532;[(2,), (-7, -6, -2), (-10, -2, 7), (-7, -2, -1, 6), (-7, -2, 1, 6), (-11, -2, 7, 10), (-2, 7, 10, 11)]
4;0.001;9;0.666988416988417;0.683068017366136;1800.0030331611633;54.16331601142883;[(-6,), (2, 6), (-3, -2, 1, 6), (-11, -7, -2, -1, 6), (-11, -2, -1, 6, 7), (-10, -2, -1, 6, 11), (-2, -1, 6, 10, 11), (-5, -2, 1, 3, 6), (-2, 1, 3, 5, 6)]
5;0.001;8;0.6694015444015444;0.658465991316932;1800.0056397914886;51.83780288696289;[(2,), (-11, -2, 8), (-12, -8, -2, -1), (-12, -8, -2, 1), (-8, -6, -2, 12), (-8, -2, 6, 12), (-9, -2, 8, 11), (-2, 8, 9, 11)]
6;0.001;6;0.6697232947232947;0.6454413892908828;1800.0001361370087;1573.6425938606262;[(2,), (-3, -2), (-7, -2, -1, 3), (-7, -2, 1, 3), (-11, -2, 3, 7), (-2, 3, 7, 11)]
